Instance,Total Cost,CPU_time,Expanded nodes,Generated nodes
20_instances_size_agent/test_1.txt,11,0.00361,1,1
20_instances_size_agent/test_10.txt,44,0.01513,2,3
20_instances_size_agent/test_11.txt,47,0.03271,1,1
20_instances_size_agent/test_12.txt,78,0.01822,2,3
20_instances_size_agent/test_13.txt,70,0.02291,3,5
20_instances_size_agent/test_14.txt,88,0.02149,2,3
20_instances_size_agent/test_15.txt,108,0.02245,2,3
20_instances_size_agent/test_16.txt,71,0.03074,6,11
20_instances_size_agent/test_17.txt,95,0.02548,2,3
20_instances_size_agent/test_18.txt,119,0.03897,6,11
20_instances_size_agent/test_19.txt,90,0.04586,11,21
20_instances_size_agent/test_2.txt,16,0.00349,1,1
20_instances_size_agent/test_20.txt,73,0.04163,9,17
20_instances_size_agent/test_21.txt,141,0.03906,4,7
20_instances_size_agent/test_22.txt,128,0.05218,6,11
20_instances_size_agent/test_23.txt,152,0.25245,52,103
20_instances_size_agent/test_24.txt,None,inf,,
20_instances_size_agent/test_25.txt,171,0.98926,72,143
20_instances_size_agent/test_26.txt,None,inf,,
20_instances_size_agent/test_27.txt,148,0.67508,15,29
20_instances_size_agent/test_28.txt,154,0.05697,4,7
20_instances_size_agent/test_29.txt,None,inf,,
20_instances_size_agent/test_3.txt,39,0.23264,1,1
20_instances_size_agent/test_30.txt,None,inf,,
20_instances_size_agent/test_31.txt,192,0.87124,5,9
20_instances_size_agent/test_32.txt,179,0.07772,6,11
20_instances_size_agent/test_33.txt,None,inf,,
20_instances_size_agent/test_34.txt,174,0.30806,10,19
20_instances_size_agent/test_35.txt,None,inf,,
20_instances_size_agent/test_36.txt,167,0.38171,6,11
20_instances_size_agent/test_37.txt,178,108.14365,13566,27131
20_instances_size_agent/test_38.txt,236,0.28481,7,13
20_instances_size_agent/test_39.txt,None,inf,,
20_instances_size_agent/test_4.txt,8,0.43978,1,1
20_instances_size_agent/test_40.txt,None,inf,,
20_instances_size_agent/test_41.txt,243,0.58163,19,37
20_instances_size_agent/test_42.txt,None,inf,,
20_instances_size_agent/test_43.txt,None,inf,,
20_instances_size_agent/test_44.txt,254,0.38847,10,19
20_instances_size_agent/test_45.txt,214,0.25857,10,19
20_instances_size_agent/test_46.txt,239,0.34721,28,55
20_instances_size_agent/test_47.txt,None,inf,,
20_instances_size_agent/test_48.txt,None,inf,,
20_instances_size_agent/test_49.txt,None,inf,,
20_instances_size_agent/test_5.txt,24,0.23085,1,1
20_instances_size_agent/test_50.txt,291,3.80059,311,621
20_instances_size_agent/test_6.txt,42,0.01229,1,1
20_instances_size_agent/test_7.txt,38,0.00980,1,1
20_instances_size_agent/test_8.txt,48,0.01480,2,3
20_instances_size_agent/test_9.txt,35,0.01233,1,1
