Instance,Total Cost,CPU_time,Expanded nodes,Generated nodes
20_instances_size_wall/test_1.txt,32,0.03382,2,3
20_instances_size_wall/test_10.txt,34,0.01736,2,3
20_instances_size_wall/test_11.txt,32,0.01528,1,1
20_instances_size_wall/test_12.txt,34,0.01600,2,3
20_instances_size_wall/test_13.txt,40,0.01484,1,1
20_instances_size_wall/test_14.txt,32,0.01449,1,1
20_instances_size_wall/test_15.txt,34,0.01549,2,3
20_instances_size_wall/test_16.txt,34,0.01395,1,1
20_instances_size_wall/test_17.txt,42,0.01407,1,1
20_instances_size_wall/test_18.txt,32,0.01374,1,1
20_instances_size_wall/test_19.txt,40,0.01477,2,3
20_instances_size_wall/test_2.txt,32,0.01778,2,3
20_instances_size_wall/test_20.txt,42,0.01329,1,1
20_instances_size_wall/test_21.txt,34,0.01420,2,3
20_instances_size_wall/test_22.txt,38,0.01256,1,1
20_instances_size_wall/test_23.txt,40,0.01289,1,1
20_instances_size_wall/test_24.txt,34,0.01366,2,3
20_instances_size_wall/test_25.txt,38,0.01222,1,1
20_instances_size_wall/test_26.txt,40,0.01249,1,1
20_instances_size_wall/test_27.txt,57,0.02894,9,17
20_instances_size_wall/test_28.txt,32,0.01180,1,1
20_instances_size_wall/test_29.txt,72,0.02297,5,9
20_instances_size_wall/test_3.txt,32,0.01780,2,3
20_instances_size_wall/test_30.txt,38,0.01099,1,1
20_instances_size_wall/test_31.txt,40,0.01149,1,1
20_instances_size_wall/test_32.txt,32,0.00942,1,1
20_instances_size_wall/test_33.txt,54,0.01111,1,1
20_instances_size_wall/test_34.txt,52,0.03619,8,15
20_instances_size_wall/test_35.txt,36,0.01064,1,1
20_instances_size_wall/test_36.txt,40,0.00983,1,1
20_instances_size_wall/test_37.txt,68,0.00931,1,1
20_instances_size_wall/test_38.txt,38,0.01056,2,3
20_instances_size_wall/test_39.txt,34,0.00815,1,1
20_instances_size_wall/test_4.txt,32,0.01660,1,1
20_instances_size_wall/test_40.txt,54,0.00975,1,1
20_instances_size_wall/test_41.txt,44,0.00867,1,1
20_instances_size_wall/test_42.txt,50,0.10649,68,135
20_instances_size_wall/test_43.txt,60,0.00876,2,3
20_instances_size_wall/test_44.txt,44,0.00501,1,1
20_instances_size_wall/test_45.txt,36,0.00440,1,1
20_instances_size_wall/test_46.txt,42,0.00409,1,1
20_instances_size_wall/test_47.txt,38,0.01034,4,7
20_instances_size_wall/test_48.txt,61,0.04315,14,27
20_instances_size_wall/test_49.txt,65,0.01938,8,15
20_instances_size_wall/test_5.txt,32,0.01779,2,3
20_instances_size_wall/test_50.txt,40,0.00331,1,1
20_instances_size_wall/test_6.txt,34,0.01751,2,3
20_instances_size_wall/test_7.txt,32,0.01789,2,3
20_instances_size_wall/test_8.txt,34,0.01690,2,3
20_instances_size_wall/test_9.txt,32,0.01575,1,1
