Instance,Total Cost,CPU_time,Expanded nodes,Generated nodes
instances/test_1.txt,41,0.14916,145,289
instances/test_10.txt,19,0.00627,4,7
instances/test_11.txt,35,0.00723,3,5
instances/test_12.txt,36,0.00864,6,11
instances/test_13.txt,36,0.01277,9,17
instances/test_14.txt,24,0.00467,2,3
instances/test_15.txt,50,0.02064,12,23
instances/test_16.txt,51,0.05187,19,37
instances/test_17.txt,39,0.00431,1,1
instances/test_18.txt,32,0.00982,7,13
instances/test_19.txt,47,0.013,6,11
instances/test_2.txt,18,0.00559,1,1
instances/test_20.txt,28,0.00502,2,3
instances/test_21.txt,46,0.00936,4,7
instances/test_22.txt,51,0.01363,8,15
instances/test_23.txt,32,0.00573,2,3
instances/test_24.txt,47,0.01907,13,25
instances/test_26.txt,42,0.00974,5,9
instances/test_27.txt,40,0.0102,6,11
instances/test_28.txt,41,0.01379,8,15
instances/test_29.txt,48,0.02443,14,27
instances/test_3.txt,28,0.00324,1,1
instances/test_30.txt,43,0.45277,417,833
instances/test_31.txt,39,0.01197,9,17
instances/test_32.txt,30,0.00794,4,7
instances/test_33.txt,28,0.01087,10,19
instances/test_34.txt,33,0.00437,3,5
instances/test_35.txt,30,0.00478,3,5
instances/test_36.txt,23,0.00316,2,3
instances/test_37.txt,38,0.05314,61,121
instances/test_38.txt,28,0.0029,1,1
instances/test_39.txt,35,0.00439,3,5
instances/test_4.txt,32,0.01621,18,35
instances/test_40.txt,24,0.00384,2,3
instances/test_41.txt,45,0.57778,407,813
instances/test_42.txt,57,0.42645,322,643
instances/test_43.txt,43,0.0164,7,13
instances/test_44.txt,33,0.01082,11,21
instances/test_45.txt,24,0.00441,2,3
instances/test_46.txt,57,0.04527,29,57
instances/test_47.txt,None,inf,29,57
instances/test_48.txt,36,2.18345,5,9
instances/test_49.txt,42,0.00924,7,13
instances/test_5.txt,26,0.0069,6,11
instances/test_50.txt,48,0.04117,13,25
instances/test_6.txt,24,0.00486,3,5
instances/test_7.txt,34,0.01357,2,3
instances/test_8.txt,38,0.29636,271,541
instances/test_9.txt,24,0.00417,1,1
