Instance,Total Cost,CPU_time,number of agent,Number of Walls
20_instances_size_agent/test_1.txt,11,0.00464,1,40
20_instances_size_agent/test_2.txt,16,0.00458,1,40
20_instances_size_agent/test_3.txt,39,0.25629,2,40
20_instances_size_agent/test_4.txt,8,0.56887,2,40
20_instances_size_agent/test_5.txt,24,0.32185,2,40
20_instances_size_agent/test_6.txt,42,0.04222,3,40
20_instances_size_agent/test_7.txt,38,0.02094,3,40
20_instances_size_agent/test_10.txt,44,0.02502,4,40
20_instances_size_agent/test_8.txt,48,0.02693,4,40
20_instances_size_agent/test_9.txt,35,0.03268,4,40
20_instances_size_agent/test_11.txt,47,0.04309,5,40
20_instances_size_agent/test_12.txt,78,0.03872,5,40
20_instances_size_agent/test_13.txt,70,0.02373,6,40
20_instances_size_agent/test_14.txt,88,0.03227,6,40
20_instances_size_agent/test_15.txt,108,0.04351,6,40
20_instances_size_agent/test_16.txt,71,0.05229,7,40
20_instances_size_agent/test_17.txt,95,0.02568,7,40
20_instances_size_agent/test_18.txt,119,0.05262,8,40
20_instances_size_agent/test_19.txt,90,0.05197,8,40
20_instances_size_agent/test_20.txt,73,0.05575,8,40
20_instances_size_agent/test_21.txt,141,0.05162,9,40
20_instances_size_agent/test_22.txt,128,0.05495,9,40
20_instances_size_agent/test_23.txt,152,0.2932,10,40
20_instances_size_agent/test_24.txt,None,inf,10,40
20_instances_size_agent/test_25.txt,171,0.75017,10,40
20_instances_size_agent/test_26.txt,None,inf,11,40
20_instances_size_agent/test_27.txt,148,0.52403,11,40
20_instances_size_agent/test_28.txt,154,0.04832,12,40
20_instances_size_agent/test_29.txt,None,inf,12,40
20_instances_size_agent/test_30.txt,None,inf,12,40
20_instances_size_agent/test_31.txt,192,0.62221,13,40
20_instances_size_agent/test_32.txt,179,0.05285,13,40
20_instances_size_agent/test_33.txt,None,inf,14,40
20_instances_size_agent/test_34.txt,174,0.16117,14,40
20_instances_size_agent/test_35.txt,None,inf,14,40
20_instances_size_agent/test_36.txt,167,0.32003,15,40
20_instances_size_agent/test_37.txt,178,0.065941,15,40
20_instances_size_agent/test_38.txt,236,0.2621,16,40
20_instances_size_agent/test_39.txt,None,inf,16,40
20_instances_size_agent/test_40.txt,None,inf,17,40
20_instances_size_agent/test_41.txt,243,0.5439,17,40
20_instances_size_agent/test_42.txt,None,inf,17,40
20_instances_size_agent/test_43.txt,None,inf,18,40
20_instances_size_agent/test_44.txt,254,0.25757,18,40
20_instances_size_agent/test_45.txt,214,0.20653,18,40
20_instances_size_agent/test_46.txt,239,0.20465,19,40
20_instances_size_agent/test_47.txt,None,inf,19,40
20_instances_size_agent/test_48.txt,None,inf,20,40
20_instances_size_agent/test_49.txt,None,inf,20,40
20_instances_size_agent/test_50.txt,291,1.47926,20,40
