Instance,Total Cost,CPU_time
20_instances_size_wall/test_1.txt,32,0.04385
20_instances_size_wall/test_2.txt,32,0.02866
20_instances_size_wall/test_3.txt,32,0.02798
20_instances_size_wall/test_4.txt,32,0.02625
20_instances_size_wall/test_5.txt,32,0.02351
20_instances_size_wall/test_6.txt,34,0.02058
20_instances_size_wall/test_7.txt,32,0.01971
20_instances_size_wall/test_8.txt,34,0.01777
20_instances_size_wall/test_9.txt,32,0.01638
20_instances_size_wall/test_10.txt,34,0.01914
20_instances_size_wall/test_11.txt,32,0.01798
20_instances_size_wall/test_12.txt,34,0.01889
20_instances_size_wall/test_13.txt,40,0.018
20_instances_size_wall/test_14.txt,32,0.01519
20_instances_size_wall/test_15.txt,34,0.01698
20_instances_size_wall/test_16.txt,34,0.01552
20_instances_size_wall/test_17.txt,42,0.01601
20_instances_size_wall/test_18.txt,32,0.01688
20_instances_size_wall/test_19.txt,40,0.01733
20_instances_size_wall/test_20.txt,42,0.01362
20_instances_size_wall/test_21.txt,34,0.01656
20_instances_size_wall/test_22.txt,38,0.01469
20_instances_size_wall/test_23.txt,40,0.01409
20_instances_size_wall/test_24.txt,34,0.01472
20_instances_size_wall/test_25.txt,38,0.01242
20_instances_size_wall/test_26.txt,40,0.01237
20_instances_size_wall/test_27.txt,57,0.04228
20_instances_size_wall/test_28.txt,32,0.01168
20_instances_size_wall/test_29.txt,72,0.02238
20_instances_size_wall/test_30.txt,38,0.01114
20_instances_size_wall/test_31.txt,40,0.00942
20_instances_size_wall/test_32.txt,32,0.00978
20_instances_size_wall/test_33.txt,54,0.0092
20_instances_size_wall/test_34.txt,52,0.0223
20_instances_size_wall/test_35.txt,36,0.00716
20_instances_size_wall/test_36.txt,40,0.00973
20_instances_size_wall/test_37.txt,68,0.00544
20_instances_size_wall/test_38.txt,38,0.00676
20_instances_size_wall/test_39.txt,34,0.00337
20_instances_size_wall/test_40.txt,54,0.00459
20_instances_size_wall/test_41.txt,44,0.00598
20_instances_size_wall/test_42.txt,50,0.07443
20_instances_size_wall/test_43.txt,60,0.00594
20_instances_size_wall/test_44.txt,44,0.00387
20_instances_size_wall/test_45.txt,36,0.0036
20_instances_size_wall/test_46.txt,42,0.00424
20_instances_size_wall/test_47.txt,38,0.01013
20_instances_size_wall/test_48.txt,61,0.02167
20_instances_size_wall/test_49.txt,65,0.00818
20_instances_size_wall/test_50.txt,40,0.00132
