Instance,Node Expanded,CPU_time
instances/test_1.txt,41,0.16717
instances/test_10.txt,19,0.00674
instances/test_11.txt,35,0.00828
instances/test_12.txt,36,0.00970
instances/test_13.txt,36,0.01443
instances/test_14.txt,24,0.00505
instances/test_15.txt,50,0.02463
instances/test_16.txt,51,0.04961
instances/test_17.txt,39,0.00475
instances/test_18.txt,32,0.01023
instances/test_19.txt,47,0.01430
instances/test_2.txt,18,0.00302
instances/test_20.txt,28,0.00530
instances/test_21.txt,46,0.00964
instances/test_22.txt,51,0.01529
instances/test_23.txt,32,0.00605
instances/test_24.txt,47,0.02543
instances/test_26.txt,42,0.01075
instances/test_27.txt,40,0.01091
instances/test_28.txt,41,0.01443
instances/test_29.txt,48,0.02616
instances/test_3.txt,28,0.00332
instances/test_30.txt,43,0.50813
instances/test_31.txt,39,0.01236
instances/test_32.txt,30,0.00816
instances/test_33.txt,28,0.01218
instances/test_34.txt,33,0.00497
instances/test_35.txt,30,0.00523
instances/test_36.txt,23,0.00353
instances/test_37.txt,38,0.06638
instances/test_38.txt,28,0.00303
instances/test_39.txt,35,0.00489
instances/test_4.txt,32,0.01841
instances/test_40.txt,24,0.00398
instances/test_41.txt,45,0.60764
instances/test_42.txt,57,1.09921
instances/test_43.txt,43,0.01760
instances/test_44.txt,33,0.01177
instances/test_45.txt,24,0.00465
instances/test_46.txt,57,0.04967
instances/test_47.txt,None,inf
instances/test_48.txt,36,1.14812
instances/test_49.txt,42,0.00991
instances/test_5.txt,26,0.00740
instances/test_50.txt,48,0.04046
instances/test_6.txt,24,0.00505
instances/test_7.txt,34,0.00481
instances/test_8.txt,38,0.34420
instances/test_9.txt,24,0.00429
